BAR_NAME,GOOGLE_MAPS_URL,CITY,DATE,DRINK_TYPE,BRAND,FORMAT,ml,PRICE,TAPA,METHOD,SOURCE,PRICE_PER_L
Bar Jesago,Bar Jesago,Madrid,30/06/2026,Cerveza,Estrella Galicia,Tercio,330,300,Si,Purchase,Self,"€9,09"
Bar Díaz ,Bar Díaz,Madrid,2/07/2026,Cerveza,Mahou,Doble,400,300,Si,Purchase,Friends&Family,"€7,50"
Taberna La cañería,Taberna La Cañeria,Madrid,4/07/2026,Cerveza,Mahou,Caña,200,180,Si,Purchase,Self,"€9,00"
Bar el rincón guay,Bar El Rincón Guay,Madrid,1/07/2026,Cerveza,Mahou,Tercio,330,385,Si,Purchase,Friends&Family,"€11,67"
Tapea gastrobar,Tapea Gastrobar,Madrid,4/07/2026,Cerveza,Estrella Galicia,Doble,400,330,Si,Purchase,Self,"€8,25"
Astral,Restaurante Astral - Cafetería - Cochinillo - Cocina méditerranea - Astral Café,Madrid,6/07/2026,Cerveza,Mahou 5 estrellas,Tercio,330,290,Si,Purchase,Self,"€8,79"
Tostado Madrid,Tostado Madrid - Fuencarral 93,Madrid,9/07/2026,Cerveza,Mahou clásica,Doble,400,350,Si,Purchase,Self,"€8,75"
Tostado Madrid,Tostado Madrid - Fuencarral 93,Madrid,9/07/2026,Cerveza,Mahou clásica,Caña,200,250,Si,Purchase,Self,"€12,50"
Sala but,Sala But,Madrid,9/07/2026,Cerveza,Alhambra,Tercio,330,600,No,Purchase,Self,"€18,18"
Bogalicom,BOGALICOM,Madrid,11/07/2026,Cerveza,Estrella Galicia,Tercio,330,300,Si,Purchase,Self,"€9,09"
Bogalicom,BOGALICOM,Madrid,11/07/2026,Cerveza,Mahou 5 estrellas,Tercio,330,300,Si,Purchase,Self,"€9,09"
La pequeña graná,Tapería La Pequeña Graná.,Madrid,12/07/2026,Cerveza,Mahou 5 estrellas,Tercio,330,360,Si,Purchase,Friends&Family,"€10,91"
La piazzola,Bar LA PIAZZOLA,Madrid,24/07/2026,Cerveza,Estrella Galicia,Tercio,330,300,Si,Purchase,Self,"€9,09"
El observatorio,Locales de ensayo Observatorio,Madrid,25/07/2026,Cerveza,Mahou 5 estrellas,Tercio,330,300,Si,Purchase,Self,"€9,09"
Tapea gastrobar,Tapea Gastrobar,Madrid,26/07/2026,Cerveza,Estrella Galicia,Doble,400,330,Si,Purchase,Self,"€8,25"
Bar sidi,BAR SIDI,Madrid,01/08/2026,Cerveza,El Aguila,Doble,400,395,Si,Purchase,Self,"€9,88"
Bar sidi,BAR SIDI,Madrid,01/08/2026,Cerveza,Amstel,Tercio,330,395,Si,Purchase,Self,"€11,97"
Nueva china world,Restaurante World,Madrid,18/08/2026,Cerveza,Mahou 5 estrellas,Tercio,330,330,Si,Purchase,Self,"€10,00"
Restaurante Jimmy,Restaurante Jimmy,Madrid,29/08/2026,Cerveza,Estrella Galicia,Tercio,330,340,Si,Purchase,Self,"€10,30"
Restaurante Jimmy,Restaurante Jimmy,Madrid,29/08/2026,Cerveza,Estrella Galicia,Doble,400,340,Si,Purchase,Self,"€8,50"
La ventura,La Ventura,Madrid,31/08/2026,Cerveza,Mahou 5 estrellas,Tercio,330,200,Si,Purchase,Self,"€6,06"
Entre Darts Rock,Entre Darts Rock,Madrid,12/09/2026,Cerveza,Mahou 5 estrellas,Tercio,330,300,Si,Purchase,Self,"€9,09"
,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
 ,,,,,,,,,,,,#DIV/0!
